station_name,year,josha_num,lines
久屋大通,1995,7912542.0,3
久屋大通,1996,7969649.0,3
久屋大通,1997,7943256.0,3
久屋大通,1998,7911473.0,3
久屋大通,1999,8007794.0,3
久屋大通,2000,7826682.0,3
久屋大通,2001,8628409.0,3
久屋大通,2002,8918918.0,3
久屋大通,2003,8308311.0,3
久屋大通,2004,7674784.0,3
久屋大通,2005,7743289.0,3
久屋大通,2006,7950608.0,3
久屋大通,2007,7719057.0,3
久屋大通,2008,7924154.0,3
久屋大通,2009,7627599.0,3
久屋大通,2010,7475530.0,3
久屋大通,2011,7794192.0,3
久屋大通,2012,8010451.0,3
久屋大通,2013,8196490.0,3
久屋大通,2014,8282642.0,3
久屋大通,2015,8690246.0,3
亀島,1991,1740469.0,1
亀島,1992,1628717.0,1
亀島,1993,1552696.0,1
亀島,1994,1476903.0,1
亀島,1995,1465770.0,1
亀島,1996,1366440.0,1
亀島,1997,1313946.0,1
亀島,1998,1309908.0,1
亀島,1999,1258177.0,1
亀島,2000,1236150.0,1
亀島,2001,1432411.0,1
亀島,2002,1432969.0,1
亀島,2003,1491300.0,1
亀島,2004,1388815.0,1
亀島,2005,1443394.0,1
亀島,2006,1451923.0,1
亀島,2007,1451146.0,1
亀島,2008,1499583.0,1
亀島,2009,1489928.0,1
亀島,2010,1453528.0,1
亀島,2011,1459457.0,1
亀島,2012,1487739.0,1
亀島,2013,1543398.0,1
亀島,2014,1587903.0,1
亀島,2015,1664260.0,1
今池,1991,8034311.0,2
今池,1992,7694398.0,2
今池,1993,7647326.0,2
今池,1994,7786830.0,2
今池,1995,7718801.0,2
今池,1996,7562800.0,2
今池,1997,7138521.0,2
今池,1998,7320428.0,2
今池,1999,7032953.0,2
今池,2000,6895664.0,2
今池,2001,7435518.0,2
今池,2002,7416394.0,2
今池,2003,7992257.0,2
今池,2004,7639302.0,2
今池,2005,7491461.0,2
今池,2006,7470003.0,2
今池,2007,7368525.0,2
今池,2008,7519104.0,2
今池,2009,7534150.0,2
今池,2010,7262642.0,2
今池,2011,7223786.0,2
今池,2012,7275366.0,2
今池,2013,7566148.0,2
今池,2014,7904899.0,2
今池,2015,8025212.0,2
伏屋,1991,981091.0,1
伏屋,1992,976896.0,1
伏屋,1993,1007768.0,1
伏屋,1994,1005257.0,1
伏屋,1995,1000147.0,1
伏屋,1996,989780.0,1
伏屋,1997,978589.0,1
伏屋,1998,1001567.0,1
伏屋,1999,1056641.0,1
伏屋,2000,1102154.0,1
伏屋,2001,1039215.0,1
伏屋,2002,997290.0,1
伏屋,2003,972616.0,1
伏屋,2004,957440.0,1
伏屋,2005,973197.0,1
伏屋,2006,1002561.0,1
伏屋,2007,1026767.0,1
伏屋,2008,1049082.0,1
伏屋,2009,1030504.0,1
伏屋,2010,1044536.0,1
伏屋,2011,1036170.0,1
