station_name,year,josha_num,lines,log_josha_num
中京競馬場前,1995,2179362.0,1,14.594542731381356
中京競馬場前,1996,2082194.0,1,14.548932703451065
中京競馬場前,1997,1994728.0,1,14.506018258158711
中京競馬場前,1998,1922380.0,1,14.469074559688188
中京競馬場前,1999,1751916.0,1,14.376220604123587
中京競馬場前,2000,1629908.0,1,14.30403412947226
中京競馬場前,2001,1601383.0,1,14.286378188853071
中京競馬場前,2002,1627938.0,1,14.302824741281343
中京競馬場前,2003,1673636.0,1,14.330509063137645
中京競馬場前,2004,1670711.0,1,14.328759842290754
中京競馬場前,2005,1687149.0,1,14.338550680093823
中京競馬場前,2006,1730322.0,1,14.36381807632208
中京競馬場前,2007,1713906.0,1,14.354285534162212
中京競馬場前,2008,1737296.0,1,14.36784043945604
中京競馬場前,2009,1696795.0,1,14.344251735505024
中京競馬場前,2010,1585800.0,1,14.276599569820435
中京競馬場前,2011,1632767.0,1,14.305786679592496
中京競馬場前,2012,1669762.0,1,14.328191659266654
中京競馬場前,2013,1777227.0,1,14.390564842366029
中京競馬場前,2014,1730521.0,1,14.363933077204939
中京競馬場前,2015,1721002.0,1,14.35841723730805
中小田井,1991,1001629.0,1,13.817138232582943
中小田井,1992,950071.0,1,13.76429199762617
中小田井,1993,899656.0,1,13.709767747018693
中小田井,1994,771464.0,1,13.556045287350553
中小田井,1995,746259.0,1,13.522828003917732
中小田井,1996,716915.0,1,13.482712563042353
中小田井,1997,681576.0,1,13.432163042609707
中小田井,1998,648234.0,1,13.382007021260598
中小田井,1999,595352.0,1,13.296908106242117
中小田井,2000,600336.0,1,13.305244777456798
中小田井,2001,582768.0,1,13.275544444451866
中小田井,2002,555005.0,1,13.226732401697
中小田井,2003,540681.0,1,13.200584735118877
中小田井,2004,550396.0,1,13.218393298133002
中小田井,2005,559432.0,1,13.234677262261203
中小田井,2006,561364.0,1,13.238124815453014
中小田井,2007,553955.0,1,13.22483873499347
中小田井,2008,585207.0,1,13.279720909779053
中小田井,2009,556143.0,1,13.228780734408554
中小田井,2010,568464.0,1,13.250693265629385
中小田井,2011,586491.0,1,13.281912601689385
中小田井,2012,594247.0,1,13.295050336829386
中小田井,2013,610175.0,1,13.321501080251693
中小田井,2014,620066.0,1,13.337581202968607
中小田井,2015,650160.0,1,13.384973765427086
中島,2004,208625.0,1,12.248293660964137
中島,2005,594348.0,1,13.295220285382499
中島,2006,664351.0,1,13.406565903248998
中島,2007,756106.0,1,13.535936856973148
中島,2008,790581.0,1,13.580523397175469
中島,2009,799807.0,1,13.592125727544602
中島,2010,813691.0,1,13.60933596603614
中島,2011,822220.0,1,13.619763278131824
中島,2012,846134.0,1,13.648433018480592
中島,2013,877094.0,1,13.684369449190958
中島,2014,915667.0,1,13.727408040442725
中島,2015,943270.0,1,13.75710784088828
中村公園,1991,5147932.0,1,15.454105638597705
中村公園,1992,4851305.0,1,15.394758298885192
中村公園,1993,4927193.0,1,15.410280012668785
中村公園,1994,4552960.0,1,15.331288128862118
中村公園,1995,4645100.0,1,15.351323458523636
中村公園,1996,4332285.0,1,15.28160567441267
中村公園,1997,4183387.0,1,15.246631763476929
中村公園,1998,4173563.0,1,15.244280665402796
中村公園,1999,4032397.0,1,15.209871546187834
中村公園,2000,4022896.0,1,15.207512599243064
中村公園,2001,4120098.0,1,15.231387507450584
中村公園,2002,4143812.0,1,15.237126695096984
中村公園,2003,4451596.0,1,15.308773241527675
